Year,New_Teams,Farthest Round,Round Name,Top Teams,All Teams
1971,3,2,Lost Div,"['Redskins', 'Browns', 'Chiefs']","['Redskins', 'Browns', 'Chiefs']"
1972,3,3,Lost Title,['Steelers'],"['Steelers', 'Packers', 'Raiders']"
1973,3,4,Lost SB,['Vikings'],"['Vikings', 'Bengals', 'Rams']"
1974,2,2,Lost Div,"['Bills', 'Cardinals']","['Bills', 'Cardinals']"
1975,3,4,Lost SB,['Cowboys'],"['Cowboys', 'Bengals', 'Colts']"
1976,2,2,Lost Div,"['Patriots', 'Redskins']","['Patriots', 'Redskins']"
1977,2,4,Lost SB,['Broncos'],"['Broncos', 'Bears']"
1978,5,3,Lost Title,['Oilers'],"['Oilers', 'Patriots', 'Falcons', 'Dolphins', 'Eagles']"
1979,3,3,Lost Title,['Buccaneers'],"['Buccaneers', 'Chargers', 'Bears']"
1980,5,5,Won SB,['Raiders'],"['Raiders', 'Browns', 'Falcons', 'Bills', 'Vikings']"
1981,6,5,Won SB,['49ers'],"['49ers', 'Bengals', 'Giants', 'Dolphins', 'Buccaneers', 'Jets']"
1982,10,5,Won SB,['Redskins'],"['Redskins', 'Packers', 'Vikings', 'Raiders', 'Steelers', 'Falcons', 'Lions', 'Browns', 'Patriots', 'Cardinals']"
1983,4,3,Lost Title,"['49ers', 'Seahawks']","['49ers', 'Seahawks', 'Rams', 'Broncos']"
1984,2,3,Lost Title,['Bears'],"['Bears', 'Giants']"
1985,4,4,Lost SB,['Patriots'],"['Patriots', 'Cowboys', 'Browns', 'Jets']"
1986,3,4,Lost SB,['Broncos'],"['Broncos', 'Redskins', 'Chiefs']"
1987,5,3,Lost Title,['Vikings'],"['Vikings', 'Oilers', 'Colts', 'Seahawks', 'Saints']"
1988,4,4,Lost SB,['Bengals'],"['Bengals', 'Bills', 'Eagles', 'Rams']"
1989,3,4,Lost SB,['Broncos'],"['Broncos', 'Giants', 'Steelers']"
1990,7,4,Lost SB,['Raiders'],"['Raiders', 'Bengals', 'Bears', 'Redskins', 'Dolphins', 'Saints', 'Chiefs']"
1991,5,3,Lost Title,"['Lions', 'Broncos']","['Lions', 'Broncos', 'Cowboys', 'Falcons', 'Jets']"
1992,6,3,Lost Title,"['Dolphins', '49ers']","['Dolphins', '49ers', 'Chargers', 'Eagles', 'Steelers', 'Vikings']"
1993,5,2,Lost Div,"['Packers', 'Giants', 'Raiders']","['Packers', 'Giants', 'Raiders', 'Broncos', 'Lions']"
1994,5,4,Lost SB,['Chargers'],"['Chargers', 'Dolphins', 'Bears', 'Browns', 'Patriots']"
1995,4,3,Lost Title,['Colts'],"['Colts', 'Eagles', 'Bills', 'Falcons']"
1996,5,4,Lost SB,['Patriots'],"['Patriots', 'Jaguars', 'Panthers', 'Broncos', 'Vikings']"
1997,5,2,Lost Div,"['Chiefs', 'Buccaneers']","['Chiefs', 'Buccaneers', 'Lions', 'Dolphins', 'Giants']"
1998,5,4,Lost SB,['Falcons'],"['Falcons', 'Jets', 'Cardinals', 'Bills', 'Cowboys']"
1999,7,5,Won SB,['Rams'],"['Rams', 'Titans', 'Buccaneers', 'Colts', 'Redskins', 'Seahawks', 'Lions']"
2000,6,5,Won SB,['Ravens'],"['Ravens', 'Giants', 'Raiders', 'Eagles', 'Saints', 'Broncos']"
2001,6,5,Won SB,['Patriots'],"['Patriots', 'Steelers', 'Packers', 'Bears', '49ers', 'Jets']"
2002,5,3,Lost Title,['Titans'],"['Titans', 'Falcons', 'Giants', 'Browns', 'Colts']"
2003,8,5,Won SB,['Patriots'],"['Patriots', 'Panthers', 'Chiefs', 'Rams', 'Seahawks', 'Broncos', 'Ravens', 'Cowboys']"
2004,5,3,Lost Title,"['Falcons', 'Steelers']","['Falcons', 'Steelers', 'Vikings', 'Jets', 'Chargers']"
2005,7,3,Lost Title,['Panthers'],"['Panthers', 'Bears', 'Redskins', 'Bengals', 'Giants', 'Buccaneers', 'Jaguars']"
2006,7,3,Lost Title,['Saints'],"['Saints', 'Chargers', 'Ravens', 'Eagles', 'Jets', 'Cowboys', 'Chiefs']"
2007,6,3,Lost Title,['Packers'],"['Packers', 'Jaguars', 'Titans', 'Buccaneers', 'Redskins', 'Steelers']"
2008,7,4,Lost SB,['Cardinals'],"['Cardinals', 'Eagles', 'Ravens', 'Panthers', 'Dolphins', 'Vikings', 'Falcons']"
2009,6,5,Won SB,['Saints'],"['Saints', 'Jets', 'Cowboys', 'Patriots', 'Packers', 'Bengals']"
2010,5,4,Lost SB,['Steelers'],"['Steelers', 'Bears', 'Seahawks', 'Falcons', 'Chiefs']"
2011,6,5,Won SB,['Giants'],"['Giants', '49ers', 'Texans', 'Broncos', 'Lions', 'Bengals']"
2012,4,2,Lost Div,['Seahawks'],"['Seahawks', 'Redskins', 'Colts', 'Vikings']"
2013,5,2,Lost Div,"['Panthers', 'Chargers', 'Saints']","['Panthers', 'Chargers', 'Saints', 'Eagles', 'Chiefs']"
2014,5,2,Lost Div,"['Cowboys', 'Ravens']","['Cowboys', 'Ravens', 'Lions', 'Steelers', 'Cardinals']"
2015,4,2,Lost Div,['Chiefs'],"['Chiefs', 'Vikings', 'Redskins', 'Texans']"
2016,6,4,Lost SB,['Falcons'],"['Falcons', 'Cowboys', 'Dolphins', 'Giants', 'Lions', 'Raiders']"
2017,8,5,Won SB,['Eagles'],"['Eagles', 'Vikings', 'Jaguars', 'Saints', 'Titans', 'Panthers', 'Bills', 'Rams']"
2018,7,2,Lost Div,"['Chargers', 'Cowboys', 'Colts']","['Chargers', 'Cowboys', 'Colts', 'Ravens', 'Bears', 'Seahawks', 'Texans']"
2019,5,4,Lost SB,['49ers'],"['49ers', 'Packers', 'Titans', 'Vikings', 'Bills']"
2020,7,3,Lost Title,"['Buccaneers', 'Browns']","['Buccaneers', 'Browns', 'Rams', 'Bears', 'Steelers', 'Team', 'Colts']"
2021,7,4,Lost SB,['Bengals'],"['Bengals', '49ers', 'Cardinals', 'Eagles', 'Cowboys', 'Raiders', 'Patriots']"
2022,7,2,Lost Div,"['Giants', 'Jaguars']","['Giants', 'Jaguars', 'Vikings', 'Ravens', 'Dolphins', 'Seahawks', 'Chargers']"
