Year,Team,Next_Wins,Diff
1970,'70 Cowboys,11,1
1971,'71 Dolphins,14,4
1972,'72 Redskins,10,-1
1973,'73 Vikings,10,-2
1974,'74 Vikings,12,2
1975,'75 Cowboys,11,1
1976,'76 Vikings,9,-2
1977,'77 Broncos,10,-2
1978,'78 Cowboys,11,-1
1979,'79 Rams,11,2
1980,'80 Eagles,10,-2
1981,'81 Bengals,7,-5
1982,'82 Raiders,12,4
1983,'83 Redskins,11,-3
1984,'84 Dolphins,12,-2
1985,'85 Patriots,11,0
1986,'86 Broncos,10,-1
1987,'87 Broncos,8,-2
1988,'88 Bengals,8,-4
1989,'89 Broncos,5,-6
1990,'90 Bills,13,0
1991,'91 Bills,11,-2
1992,'92 Bills,12,1
1993,'93 Bills,7,-5
1994,'94 Chargers,9,-2
1995,'95 Steelers,10,-1
1996,'96 Patriots,10,-1
1997,'97 Packers,11,-2
1998,'98 Falcons,5,-9
1999,'99 Titans,13,0
2000,'00 Giants,7,-5
2001,'01 Rams,7,-7
2002,'02 Raiders,4,-7
2003,'03 Panthers,7,-4
2004,'04 Eagles,6,-7
2005,'05 Seahawks,9,-4
2006,'06 Bears,7,-6
2007,'07 Patriots,11,-5
2008,'08 Cardinals,10,1
2009,'09 Colts,10,-4
2010,'10 Steelers,12,0
2011,'11 Patriots,12,-1
2012,'12 49ers,12,1
2013,'13 Broncos,12,-1
2014,'14 Seahawks,10,-2
2015,'15 Panthers,6,-9
2016,'16 Falcons,10,-1
2017,'17 Patriots,11,-2
2018,'18 Rams,9,-4
2019,'19 49ers,6,-7
2020,'20 Chiefs,12,-2
2021,'21 Bengals,12,2
